Artist;Title;Album;Year
Megadeth;Use The Man;Capitol Punishment: The Megadeth Years;2000
Alestorm;Nancy The Tavern Wench;Captain Morgan's Revenge;2008
Pantera;Heresy;Cowboys From Hell;1990
Cycle Sluts from Hell;Dark Ships;Cycle Sluts from Hell;1991
Judas Priest;The Sentinel;Defenders Of The Faith;1984
Judas Priest;The Sentinel;Defenders Of The Faith [Remastered];1984
Moi dix Mois;Ange;Dix infernal;2003
Mercyful Fate;Night Of The Unborn;Don't Break The Oath;1984
Alien Crucifixion;The Trenches Of Chasma;Drum Machine Madness;2003
Bulldoze;All I Have;The Final Beatdown;1998
Yngwie Malmsteen;How Many Miles To Babylon?;Fire And Ice;1992
Testament;The Formation Of Damnation;The Formation Of Damnation;2008
Arnocorps;Total Recall;The Greatest Band of All Time;2005
Judas Priest;Hell Bent For Leather;Hell Bent For Leather;1978
Judas Priest;Hell Bent For Leather;Hell Bent For Leather [The Remasters];1978
Stratovarius;Hunting High And Low (Demo Version);Hunting High & Low;2000
Wolfbrigade;No Heart Bleeds;In Darkness You Feel No Regrets;2003
Grip Inc.;Endowment Of Apathy;Incorporated;2004
Stratovarius;Requiem;Intermission;2001
Iron Maiden;Running Free;Iron Maiden;1980
Finntroll;Skogens HÃ¤mnd;Jaktens Tid;2001
Helloween;Rise And Fall;Keeper Of The Seven Keys Part 2;2006
Metallica;Jump in the Fire;Kill 'em All;1983
Iron Maiden;Another Life;Killers;1981
Crumbsuckers;Super Tuesday;Life of Dreams;1999
Wolfpack;Dead Heading;Lycanthro Punk;1998
Edguy;04 - All the clowns;Mandrake;2001
Merauder;Master Killer;Master Killer;1996
Black Sabbath;Children Of The Grave;Master of Reality;1971
Dragonforce;Three Hammers;Maximum Overload;2014
Mercyful Fate;At The Sound Of The Demon Bell;Melissa;1983
Mercyful Fate;Devil Eyes;Mercyful Fate;1982
Judas Priest;Painkiller;Metal Works 1973-1993 [Disc1] [1 of 2] [Remast;-1
Judas Priest;Painkiller;Metal Works '73 -'93;1993
Judas Priest;Solar Angels;Metal Works 73-93 (Disc 2);1993
Black Sabbath;A Hard Road;Never Say Die;1978
Iron Maiden;Public Enema Number One;No Prayer For The Dying;1990
Moi Dix Mois;vestige;Nocturnal Opera;2003
Iron Maiden;22 Acacia Avenue;The Number Of the Beast;1998
Type O Negative;Be My Druidess;October Rust;1996
Hellshock;Media;Only The Dead Know The End Of War LP;2003
Ozzy Osbourne;Crazy Train;The Ozzman Cometh;1997
Judas Priest;Leather Rebel;Painkiller;1990
Judas Priest;Leather Rebel;Painkiller [The Re-Masters];1990
Deathspell Omega;Dearth;Paracletus;2011
Black Sabbath;Iron Man;Paranoid;1970
Iron Maiden;Die with Your Boots On;Piece of Mind;1990
Judas Priest;Turning Circles;Point Of Entry;1981
Amebix;Last will and testament;The Power Remains;1999
Iron Maiden;Flash Of The Blade;Powerslave;1984
Ludichrist;The Tip Of My Mind;Powertrip;2000
Borknagar;Colossus;Quintessence;2000
Judas Priest;Come And Get It;Ram It Down;1988
Metallica;Fade To Black;Ride the Lightning;1984
Judas Priest;Deep Freeze;Rocka Rolla;1974
Judas Priest;Deep Freeze;Rocka Rolla (Digipak Re-release);1974
Black Sabbath;Sabbra Cadabra;Sabbath Bloody Sabbath;1973
Black Sabbath;Megalomania;Sabotage;1975
Judas Priest;Deceiver;Sad Wings of Destiny;1976
Judas Priest;Deceiver;Sad Wings of Destiny (Digipak re-release);1976
