;show_date;Artist;Title;Album;Year
269;Dec 22. 2022;Parquet Courts;Dust;Dust;2016
270;Dec 22. 2022;Shopping;Wind Up;Why Choose;2015
271;Dec 22. 2022;Violent Femmes;Mirror Mirror (I See A Damsel);New Times;2021
272;Dec 22. 2022;James and The Ultrasounds;Sleep Cheap;Bad To Be Here;2015
273;Dec 18. 2022;Okkervil River;Unless It's Kicks;The Stage Names;2007
274;Dec 18. 2022;Pixies;The Happening;The Happening;1990
275;Dec 18. 2022;Dinosaur Jr;Don’t Pretend You Didn’t Know;I Bet On Sky;2012
276;Dec 18. 2022;Graham Day And The Gaolers;Glad I’m Not Young;Triple Distilled;2008
277;Dec 18. 2022;Courtney Barnett;Scotty Says;The Double EP: A Sea of Split Peas;2013
278;Dec 18. 2022;Portugal. The Man;Evil Friends;Evil Friends;2013
279;Dec 18. 2022;Reigning Sound;Straight Shooter;The Coolest Songs In The World. Vol 1;2500
280;Dec 18. 2022;Built To Spill;Distopian Dream Girl;There's Nothing Wrong With Love;1994
281;Dec 18. 2022;Les Savy Fav;What Would Wolves Do?;Let's Stay Friends;2007
282;Dec 18. 2022;Dan Auerbach;I Want Some More;Keep It Hid;2021
283;Dec 18. 2022;Arcade Fire;Rococo;The Suburbs (Deluxe);2010
284;Dec 18. 2022;Beck;Derelict;Odelay;1996
285;Dec 18. 2022;Superchunk;Low F;I Hate Music;2013
286;Dec 18. 2022;Ty Segall;Sweets;Singles 2007-2010;2011
287;Dec 18. 2022;The Coathangers;Make It Right;Make It Right;2016
288;Dec 18. 2022;The Jon Spencer Blues Explosion;Cowboy;Orange;2010
289;Dec 18. 2022;Black Lips;Time;Arabia Mountain;2011
290;Dec 18. 2022;Real Estate;Talking Backwards;Talking Backwards;2014
291;Dec 18. 2022;Vampire Weekend;The Kids Don't Stand a Chance;The Kids Don't Stand a Chance;2008
292;Dec 18. 2022;The Strokes;What Ever Happened?;Room On Fire;2003
293;Dec 18. 2022;Hinds;Chili Town;Chili Town;2015
294;Dec 18. 2022;Car Seat Headrest;Not What I Needed;Not What I Needed;2016
295;Dec 18. 2022;Night Beats;Playing Dead;Sonic Bloom;2013
296;Dec 18. 2022;The Black Keys;Remember When (Side B);Remember When (Side B);2019
297;Dec 18. 2022;Eels;Bombs Away;Bombs Away;2013
298;Dec 18. 2022;Parquet Courts;Dust;Dust;2016
299;Dec 18. 2022;Shopping;Wind Up;Why Choose;2015
300;Dec 18. 2022;Violent Femmes;Mirror Mirror (I See A Damsel);New Times;2021
301;Dec 18. 2022;James and The Ultrasounds;Sleep Cheap;Bad To Be Here;2015
302;Dec 15. 2022;The Jesus and Mary Chain;Head On;21 Singles;2002
303;Dec 15. 2022;Eels;Last Stop: This Town;Meet The EELS: Essential EELS 1996-2006 Vol. 1;2008
304;Dec 15. 2022;The Shins;So Says I;So Says I;2008
305;Dec 15. 2022;Letters to Cleo;Here And Now;Aurora Gory Alice;2008
306;Dec 15. 2022;James and The Ultrasounds;Letters In A Box;Bad To Be Here;2015
307;Dec 15. 2022;Kevin Morby;This Is A Photograph;This Is A Photograph;2022
308;Dec 15. 2022;The Amps;Mom's Drunk;Mom's Drunk;1995
309;Dec 15. 2022;Pavement;Harness Your Hopes;Brighten the Corners (Nicene Creedence Ed.) (Deluxe Edition);2008
310;Dec 15. 2022;Beck;E-Pro;Guero;2010
311;Dec 15. 2022;Alvvays;Plimsoll Punks;Antisocialites;2017
312;Dec 15. 2022;alt-J;U&ME;U&ME;2021
313;Dec 15. 2022;Horsegirl;Anti-glory;Anti-glory;2022
314;Dec 15. 2022;Bass Drum of Death;Crawling After You;Bass Drum of Death;2013
315;Dec 15. 2022;Parquet Courts;Human Performance;Human Performance;2016
316;Dec 15. 2022;Shopping;Wild Child;The Official Body;2017
